Date,Open,High,Low,Close,Volume
2018-01-01,405.7093940695705,405.7093940695705,399.0259980520491,400.01531982421875,9453202
2018-01-02,401.44430689808223,404.3243349654804,398.5422945557765,400.630859375,9499419
2018-01-03,406.7206575344839,407.1603723602456,401.4662693595577,402.2357482910156,13507800
2018-01-04,403.7087301164242,405.31364082486886,402.6314713366122,404.6540832519531,9008932
2018-01-05,405.3136888871881,407.55614380891217,404.6321469594076,405.95123291015625,7441284
2018-01-08,407.20438784091283,409.35890561611836,406.06117612456933,408.2816467285156,8827020
2018-01-09,408.1057359895011,415.0309883460093,406.2810117415953,413.73388671875,14294571
2018-01-10,414.63528289881026,416.5699579312646,411.33755337365113,414.3494873046875,11727682
2018-01-11,414.1076295189599,414.48139156921326,411.1176798744526,412.3268737792969,7849171
2018-01-12,414.63526572971494,418.9443011456159,412.54670084844645,417.2734375,15071161
2018-01-15,417.7131174735659,421.4505320612223,415.6025684930186,417.33935546875,11120925
2018-01-16,416.701844644829,416.701844644829,404.52220381560244,405.8193054199219,10825151
2018-01-17,407.1603815523922,408.47946735645695,398.8060931893132,406.5008239746094,13204016
2018-01-18,408.47954351313507,408.7433548528326,402.36773803443594,404.3903503417969,9381821
2018-01-19,405.8413069198199,410.85386869756803,405.44558994453865,409.4908142089844,9973533
2018-01-22,416.83372365050184,428.39777467576323,413.31615174542833,427.1666259765625,45700733
2018-01-23,428.7056059033461,435.7187657999639,428.7056059033461,432.3330993652344,22526810
2018-01-24,431.67352374907864,431.67352374907864,423.27529616245386,424.9021911621094,14289485
2018-01-25,425.5837167012259,427.3864859503366,420.4172653298735,424.704345703125,13669901
2018-01-29,424.8363009394786,429.7169279546101,421.8023825874076,424.08880615234375,9897064
2018-01-30,424.6604006057876,424.6604006057876,417.27344900176803,417.8890380859375,9182956
2018-01-31,417.71316945774777,424.0887857402805,413.9977093299284,422.6817626953125,12551686
2018-02-01,423.5391658544019,427.6503134810664,411.82119464193335,415.0090026855469,16524809
2018-02-02,411.1176413978391,415.0529439106164,396.16792392595465,397.6408996582031,28965593
2018-02-05,393.0901194998238,401.2245375150641,387.72580868397273,396.67364501953125,19191099
2018-02-06,385.61518115300373,394.8488405971772,382.9769801611679,392.2546081542969,24062503
2018-02-07,396.84948446786,398.10261751571784,391.33125523980664,393.26593017578125,15532284
2018-02-08,394.8048537279179,400.41099021711074,392.36451131962224,397.72882080078125,13825894
2018-02-09,390.8915336435809,396.6075914707734,389.57241853988273,394.7828674316406,11580639
2018-02-12,397.04730301794615,403.73069816875363,396.62957247633346,402.54351806640625,11877059
2018-02-14,405.8412810361191,414.4154124505737,404.961880684521,410.5240783691406,22247829
2018-02-15,412.28290382235866,415.8444446410589,408.10574456363065,411.40350341796875,13363743
2018-02-16,413.14022993041374,414.4593450190421,403.6867283365745,405.0937805175781,9628162
2018-02-19,404.9618661783807,409.798553263164,401.68612126585737,407.6000671386719,8941900
2018-02-20,408.4794923183597,408.72131934944093,403.9945826995693,405.005859375,8458450
2018-02-21,408.9190963064601,410.01833921645755,405.4674776782778,408.63330078125,11917390
2018-02-22,405.4015852379144,409.3588720438302,404.52218490865516,406.43487548828125,11196908
2018-02-23,406.89653839741874,412.4367515729764,405.73134252001597,410.7878723144531,10610664
2018-02-26,412.8764429998568,415.4706754324035,411.8211684776262,412.7445373535156,8435611
2018-02-27,412.87645340376895,420.26337524552326,412.5906578294948,417.9329833984375,14021366
2018-02-28,415.93239311555607,420.8350336269253,414.7232285332822,419.71380615234375,56650480
2018-03-01,417.60324837104173,422.0661739016729,415.93238465586256,417.0096435546875,8956590
2018-03-05,414.6352728052159,417.7791123185467,405.2257385411593,406.3249816894531,12325694
2018-03-06,408.47948917870684,411.6453128884909,397.9707120301943,400.49896240234375,16019726
2018-03-07,399.79544642431404,399.79544642431404,390.47384926054247,391.2213439941406,15853546
2018-03-08,394.69489044000653,402.1038251712853,392.7822293586027,400.7627258300781,13283967
2018-03-09,402.27974450961244,404.2364037076672,400.58689661426115,401.48828125,10638527
2018-03-12,404.52220822330077,410.28226456860386,403.44494936195815,409.05108642578125,8315150
2018-03-13,409.7546197741428,411.5573891170152,405.1158201118897,409.7326354980469,11148731
2018-03-14,408.39151295978127,409.8205200743589,404.17041508438297,408.5014343261719,14724464
2018-03-15,406.7206502417463,408.6773092701264,400.1251921370827,400.9166259765625,12711836
2018-03-16,399.6854866939291,399.99329587911296,389.5944408403758,395.7502136230469,30814962
2018-03-19,396.1679322023547,398.76213533161535,392.21064533256566,393.7496032714844,12630833
2018-03-20,392.7822439861495,397.4869959374654,390.0341217346192,391.2432861328125,15192983
2018-03-21,393.46381914570554,396.7615487619695,392.7823065562773,394.3652038574219,14715126
2018-03-22,393.9694722069794,400.9826617944784,393.85955082567887,399.3117980957031,22129723
2018-03-23,391.5950302820251,395.72819107573343,390.9355020818587,393.0460510253906,23469999
2018-03-26,393.0681048815811,397.6189676743443,392.43053149038747,396.2119445800781,13227705
2018-03-27,398.8941102258626,400.4550232441875,394.40917096085593,395.64031982421875,15179544
2018-03-28,393.8814852028125,393.90346947628746,386.93424932420874,388.1214294433594,19160609
2018-04-02,392.6503412089737,396.14595840040124,389.79232670657075,392.62835693359375,12494499
2018-04-03,391.7709658870762,396.475718172684,389.24268619166367,395.5303649902344,13922126
2018-04-04,397.7947834006433,400.9166383628737,392.232615321624,393.4857482910156,14214534
2018-04-05,397.9707163119858,400.1252340257902,397.2671901406303,399.3337707519531,8527915
2018-04-06,399.2458250284288,403.8626402150307,397.9267391681857,400.5649108886719,9664888
2018-04-09,401.2464528798263,404.08251242890424,401.2464528798263,402.7633972167969,7813897
2018-04-10,403.8187036497765,406.23706216185764,401.9500107628789,403.2251281738281,8455132
2018-04-11,405.31366696722233,410.12834070009694,402.7853872342242,409.2929382324219,13140816
2018-04-12,408.85320300777926,411.8431523766241,406.3689213009491,408.3475646972656,10822592
2018-04-13,410.10636238142484,414.0636494286388,408.34759096716544,412.8105163574219,12616816
2018-04-16,410.8758617374064,413.31620452486817,408.2596740864619,412.0190734863281,8934275
2018-04-17,413.3161523209842,416.4819758454091,411.55735169024786,415.1848449707031,9599816
2018-04-18,415.62457549700974,416.92167706918997,411.1396366544429,412.436767578125,7360987
